PLATE_ID,TIME_PT,HRS_INOC,SAMPLE,NiTREAT,REP,OD600,OD600_BLK,A618,A618_BLK,A595,A595_BLK,CFU_ct,CFU_ml,logCFU_ml,CFU_ox,DisNi,DisMn,Ni.rem,Mn.rem
T0,0,0.3,L100_Ni0_T0,0,A,0.039,0.002,,,,,,,,,0.086,4.659,,
T0,0,0.3,L100_Ni0_T0,0,B,0.039,0.002,,,,,,,,,0.064,5.074,,
T0,0,0.3,L100_Ni0_T0,0,C,0.038,0.001,,,,,,,,,0.061,4.908,,
T0,0,0.3,L100_Ni0_T0,0,D,0.039,0.002,0.052,-0.003,0.23,0.002,,,,,,,,
T0,0,0.3,L100_Ni0_T0,0,E,0.039,0.002,0.052,-0.003,0.227,-0.001,,,,,,,,
T0,0,0.3,L100_Ni0_T0,0,F,0.039,0.002,0.053,-0.002,0.226,-0.002,,,,,,,,
T0,0,0.3,L100_Ni5_T0,5,A,0.04,0.003,,,,,,,,,0.309,4.942,,
T0,0,0.3,L100_Ni5_T0,5,B,0.04,0.003,,,,,,,,,0.306,4.847,,
T0,0,0.3,L100_Ni5_T0,5,C,0.039,0.002,,,,,,,,,0.3,4.698,,
T0,0,0.3,L100_Ni5_T0,5,D,0.04,0.003,0.052,-0.001,0.231,0.001,,,,,,,,
T0,0,0.3,L100_Ni5_T0,5,E,0.039,0.002,0.056,0.004,0.224,-0.006,,,,,,,,
T0,0,0.3,L100_Ni5_T0,5,F,0.04,0.003,0.052,-0.001,0.224,-0.006,,,,,,,,
T0,0,0.3,L100_Ni10_T0,10,A,0.04,0.002,,,,,,,,,0.592,4.965,,
T0,0,0.3,L100_Ni10_T0,10,B,0.041,0.003,,,,,,,,,0.581,4.77,,
T0,0,0.3,L100_Ni10_T0,10,C,0.04,0.002,,,,,,,,,0.573,4.924,,
T0,0,0.3,L100_Ni10_T0,10,D,0.041,0.003,0.053,0,0.234,0.007,,,,,,,,
T0,0,0.3,L100_Ni10_T0,10,E,0.042,0.004,0.051,-0.002,0.224,-0.003,,,,,,,,
T0,0,0.3,L100_Ni10_T0,10,F,0.04,0.002,0.052,-0.001,0.225,-0.002,,,,,,,,
T0,0,0.3,L100_Ni25_T0,25,A,0.04,0.001,,,,,,,,,1.404,4.99,,
T0,0,0.3,L100_Ni25_T0,25,B,0.042,0.003,,,,,,,,,1.377,4.885,,
T0,0,0.3,L100_Ni25_T0,25,C,0.04,0.001,,,,,,,,,1.378,4.949,,
T0,0,0.3,L100_Ni25_T0,25,D,0.042,0.003,0.053,0,0.231,0,,,,,,,,
T0,0,0.3,L100_Ni25_T0,25,E,0.04,0.001,0.052,-0.001,0.221,-0.01,,,,,,,,
T0,0,0.3,L100_Ni25_T0,25,F,0.041,0.002,0.052,-0.001,0.227,-0.004,,,,,,,,
T0,0,0.3,L100_Ni50_T0,50,A,0.043,0.003,,,,,,,,,2.517,4.851,,
T0,0,0.3,L100_Ni50_T0,50,B,0.044,0.004,,,,,,,,,2.557,4.926,,
T0,0,0.3,L100_Ni50_T0,50,C,0.054,0.014,,,,,,,,,2.472,4.795,,
T0,0,0.3,L100_Ni50_T0,50,D,0.044,0.004,0.053,0,0.23,0.002,,,,,,,,
T0,0,0.3,L100_Ni50_T0,50,E,0.043,0.003,0.052,-0.001,0.223,-0.006,,,,,,,,
T0,0,0.3,L100_Ni50_T0,50,F,0.043,0.003,0.052,-0.001,0.224,-0.005,,,,,,,,
T0,0,0.3,L100_Ni75_T0,75,A,0.044,0.003,,,,,,,,,3.701,4.905,,
T0,0,0.3,L100_Ni75_T0,75,B,0.045,0.004,,,,,,,,,3.685,4.858,,
T0,0,0.3,L100_Ni75_T0,75,C,0.047,0.006,,,,,,,,,3.646,4.862,,
T0,0,0.3,L100_Ni75_T0,75,D,0.045,0.004,0.052,-0.001,0.228,-0.001,,,,,,,,
T0,0,0.3,L100_Ni75_T0,75,E,0.046,0.005,0.051,-0.002,0.218,-0.011,,,,,,,,
T0,0,0.3,L100_Ni75_T0,75,F,0.045,0.004,0.052,-0.001,0.226,-0.003,,,,,,,,
T0,0,0.3,L100_Ni125_T0,125,A,0.048,0.006,,,,,,,,,6.473,4.919,,
T0,0,0.3,L100_Ni125_T0,125,B,0.054,0.012,,,,,,,,,6.51,4.955,,
T0,0,0.3,L100_Ni125_T0,125,C,0.045,0.003,,,,,,,,,6.63,5.043,,
T0,0,0.3,L100_Ni125_T0,125,D,0.045,0.003,0.051,-0.001,0.228,-0.001,,,,,,,,
T0,0,0.3,L100_Ni125_T0,125,E,0.054,0.012,0.051,-0.001,0.215,-0.014,,,,,,,,
T0,0,0.3,L100_Ni125_T0,125,F,0.051,0.009,0.051,-0.001,0.228,-0.001,,,,,,,,
T0,0,0.3,L100_Ni250_T0,250,A,0.047,0.004,,,,,,,,,12.64,4.715,,
T0,0,0.3,L100_Ni250_T0,250,B,0.064,0.021,,,,,,,,,12.356,4.624,,
T0,0,0.3,L100_Ni250_T0,250,C,0.046,0.003,,,,,,,,,13.118,4.94,,
T0,0,0.3,L100_Ni250_T0,250,D,0.05,0.007,0.052,-0.001,0.229,0.003,,,,,,,,
