NiTREAT,NiCONC,PLATE,SAMPLE,A618,A595,RATIO
Ni0,0,Ni0_A,Ni0_A1,1.541,1.32,1.17
Ni0,0,Ni0_A,Ni0_A2,1.11,1.109,1.00
Ni0,0,Ni0_A,Ni0_A3,1.483,1.276,1.16
Ni0,0,Ni0_A,Ni0_A4,1.484,1.266,1.17
Ni0,0,Ni0_A,Ni0_A5,1.594,1.353,1.18
Ni0,0,Ni0_A,Ni0_A6,1.683,1.354,1.24
Ni0,0,Ni0_A,Ni0_A7,1.653,1.232,1.34
Ni0,0,Ni0_A,Ni0_A8,1.605,1.239,1.30
Ni0,0,Ni0_A,Ni0_A9,1.722,1.305,1.32
Ni0,0,Ni0_A,Ni0_A10,1.645,1.283,1.28
Ni0,0,Ni0_B,Ni0_B1,1.484,1.183,1.25
Ni0,0,Ni0_B,Ni0_B2,1.481,1.033,1.43
Ni0,0,Ni0_B,Ni0_B3,1.62,1.017,1.59
Ni0,0,Ni0_B,Ni0_B4,1.71,0.974,1.76
Ni0,0,Ni0_B,Ni0_B5,1.611,0.954,1.69
Ni0,0,Ni0_B,Ni0_B6,1.554,1.135,1.37
Ni0,0,Ni0_B,Ni0_B7,1.513,1.079,1.40
Ni0,0,Ni0_B,Ni0_B8,1.683,1.11,1.52
Ni0,0,Ni0_B,Ni0_B9,1.662,1.154,1.44
Ni0,0,Ni0_B,Ni0_B10,1.756,1.111,1.58
Ni0,0,Ni0_C,Ni0_C1,1.466,1.224,1.20
Ni0,0,Ni0_C,Ni0_C2,1.602,1.257,1.27
Ni0,0,Ni0_C,Ni0_C3,1.693,1.286,1.32
Ni0,0,Ni0_C,Ni0_C4,1.487,1.157,1.29
Ni0,0,Ni0_C,Ni0_C5,1.512,1.204,1.26
Ni0,0,Ni0_C,Ni0_C6,1.929,1.343,1.44
Ni0,0,Ni0_C,Ni0_C7,1.665,1.343,1.24
Ni0,0,Ni0_C,Ni0_C8,1.675,1.109,1.51
Ni0,0,Ni0_C,Ni0_C9,1.772,1.3,1.36
Ni0,0,Ni0_C,Ni0_C10,1.91,1.261,1.51
Ni2.5,2.5,Ni2.5_A,Ni2.5_A1,1.67,1.248,1.34
Ni2.5,2.5,Ni2.5_A,Ni2.5_A2,1.757,1.131,1.55
Ni2.5,2.5,Ni2.5_A,Ni2.5_A3,1.45,1.105,1.31
Ni2.5,2.5,Ni2.5_A,Ni2.5_A4,1.441,0.997,1.45
Ni2.5,2.5,Ni2.5_A,Ni2.5_A5,1.635,1.288,1.27
Ni2.5,2.5,Ni2.5_A,Ni2.5_A6,1.771,1.285,1.38
Ni2.5,2.5,Ni2.5_A,Ni2.5_A7,1.599,1.019,1.57
Ni2.5,2.5,Ni2.5_A,Ni2.5_A8,1.811,1.263,1.43
Ni2.5,2.5,Ni2.5_A,Ni2.5_A9,1.708,1.15,1.49
Ni2.5,2.5,Ni2.5_A,Ni2.5_A10,1.741,1.164,1.50
Ni2.5,2.5,Ni2.5_B,Ni2.5_B1,1.969,1.423,1.38
